"years","index"
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,-0.0044887118193889
27,-0.0635590969455509
28,-0.0524568393094285
29,-0.0534661354581673
30,-0.00188579017264257
31,-0.0711022576361218
32,0.0113413014608236
33,0.0230278884462154
34,0.0229216467463481
35,0.0264807436918993
36,0.0380610889774239
37,0.0721115537848608
38,0.00624169986719807
39,0.0976626826029221
40,0.059893758300133
41,0.022018592297477
42,0.0832138114209829
43,0.0933067729083665
44,0.0170783532536523
45,-0.0131474103585656
46,-0.0325896414342628
47,-0.0374767596281538
48,0.0665869853917665
49,0.0840637450199205
50,-0.01203187250996
51,0.042416998671979
52,0.0609030544488714
53,0.1
54,-0.00671978751660005
55,-0.0916069057104912
56,-0.0500664010624166
57,-0.0499601593625498
58,-0.00937583001328
59,0.042416998671979
60,-0.000557768924302607
61,0.00422310756972129
62,-0.00756972111553768
63,-0.0275962815405044
64,-0.08937583001328
65,-0.0471447543160688
66,-0.0511819389110222
67,-0.1
68,-0.0834794156706505
69,-0.0553784860557769
70,0.0532005312084995
71,0.0822045152722446
72,0.0574501992031874
73,0.0155378486055779
74,-0.00682602921646726
75,0.0133598937583004
