"years","index"
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,-0.000875298804780835
27,-0.0123940239043824
28,-0.0102290836653386
29,-0.0104258964143426
30,-0.0003677290836653
31,-0.0138649402390437
32,0.0022115537848606
33,0.00449043824701199
34,0.00446972111553789
35,0.00516374501992036
36,0.00742191235059765
37,0.0140617529880478
38,0.00121713147410362
39,0.0190442231075698
40,0.0116792828685259
41,0.00429362549800801
42,0.0162266932270917
43,0.0181948207171315
44,0.00333027888446219
45,-0.00256374501992029
46,-0.00635498007968124
47,-0.00730796812749
48,0.0129844621513945
49,0.0163924302788845
50,-0.0023462151394422
51,0.0082713147410359
52,0.0118760956175299
53,0.0195
54,-0.00131035856573701
55,-0.0178633466135458
56,-0.00976294820717123
57,-0.00974223107569721
58,-0.0018282868525896
59,0.0082713147410359
60,-0.000108764940239008
61,0.000823505976095651
62,-0.00147609561752985
63,-0.00538127490039836
64,-0.0174282868525896
65,-0.00919322709163343
66,-0.00998047808764932
67,-0.0195
68,-0.0162784860557769
69,-0.0107988047808765
70,0.0103741035856574
71,0.0160298804780877
72,0.0112027888446216
73,0.00302988047808769
74,-0.00133107569721112
75,0.00260517928286857
