"year","month","fleet","sex","partition","agerr","lbinlo","lbinhi","nsamps","1","2","3","4","5","6","7","8","9","10","11","12"
25,7,3,0,0,0,-1,-1,100,1,1,1,1,1,1,1,1,1,1,1,1
26,7,3,0,0,0,-1,-1,100,1,1,1,1,1,1,1,1,1,1,1,1
27,7,3,0,0,0,-1,-1,100,1,1,1,1,1,1,1,1,1,1,1,1
28,7,3,0,0,0,-1,-1,100,1,1,1,1,1,1,1,1,1,1,1,1
29,7,3,0,0,0,-1,-1,100,1,1,1,1,1,1,1,1,1,1,1,1
30,7,3,0,0,0,-1,-1,100,1,1,1,1,1,1,1,1,1,1,1,1
31,7,3,0,0,0,-1,-1,100,1,1,1,1,1,1,1,1,1,1,1,1
32,7,3,0,0,0,-1,-1,100,1,1,1,1,1,1,1,1,1,1,1,1
33,7,3,0,0,0,-1,-1,100,1,1,1,1,1,1,1,1,1,1,1,1
34,7,3,0,0,0,-1,-1,100,1,1,1,1,1,1,1,1,1,1,1,1
35,7,3,0,0,0,-1,-1,100,1,1,1,1,1,1,1,1,1,1,1,1
36,7,3,0,0,0,-1,-1,100,1,1,1,1,1,1,1,1,1,1,1,1
37,7,3,0,0,0,-1,-1,100,1,1,1,1,1,1,1,1,1,1,1,1
38,7,3,0,0,0,-1,-1,100,1,1,1,1,1,1,1,1,1,1,1,1
39,7,3,0,0,0,-1,-1,100,1,1,1,1,1,1,1,1,1,1,1,1
40,7,3,0,0,0,-1,-1,100,1,1,1,1,1,1,1,1,1,1,1,1
41,7,3,0,0,0,-1,-1,100,1,1,1,1,1,1,1,1,1,1,1,1
42,7,3,0,0,0,-1,-1,100,1,1,1,1,1,1,1,1,1,1,1,1
43,7,3,0,0,0,-1,-1,100,1,1,1,1,1,1,1,1,1,1,1,1
44,7,3,0,0,0,-1,-1,100,1,1,1,1,1,1,1,1,1,1,1,1
45,7,3,0,0,0,-1,-1,100,1,1,1,1,1,1,1,1,1,1,1,1
46,7,3,0,0,0,-1,-1,100,1,1,1,1,1,1,1,1,1,1,1,1
47,7,3,0,0,0,-1,-1,100,1,1,1,1,1,1,1,1,1,1,1,1
48,7,3,0,0,0,-1,-1,100,1,1,1,1,1,1,1,1,1,1,1,1
49,7,3,0,0,0,-1,-1,100,1,1,1,1,1,1,1,1,1,1,1,1
50,7,3,0,0,0,-1,-1,100,1,1,1,1,1,1,1,1,1,1,1,1
25,7,4,0,0,0,-1,-1,100,1,1,1,1,1,1,1,1,1,1,1,1
26,7,4,0,0,0,-1,-1,100,1,1,1,1,1,1,1,1,1,1,1,1
27,7,4,0,0,0,-1,-1,100,1,1,1,1,1,1,1,1,1,1,1,1
28,7,4,0,0,0,-1,-1,100,1,1,1,1,1,1,1,1,1,1,1,1
29,7,4,0,0,0,-1,-1,100,1,1,1,1,1,1,1,1,1,1,1,1
30,7,4,0,0,0,-1,-1,100,1,1,1,1,1,1,1,1,1,1,1,1
31,7,4,0,0,0,-1,-1,100,1,1,1,1,1,1,1,1,1,1,1,1
32,7,4,0,0,0,-1,-1,100,1,1,1,1,1,1,1,1,1,1,1,1
33,7,4,0,0,0,-1,-1,100,1,1,1,1,1,1,1,1,1,1,1,1
34,7,4,0,0,0,-1,-1,100,1,1,1,1,1,1,1,1,1,1,1,1
35,7,4,0,0,0,-1,-1,100,1,1,1,1,1,1,1,1,1,1,1,1
36,7,4,0,0,0,-1,-1,100,1,1,1,1,1,1,1,1,1,1,1,1
37,7,4,0,0,0,-1,-1,100,1,1,1,1,1,1,1,1,1,1,1,1
38,7,4,0,0,0,-1,-1,100,1,1,1,1,1,1,1,1,1,1,1,1
39,7,4,0,0,0,-1,-1,100,1,1,1,1,1,1,1,1,1,1,1,1
40,7,4,0,0,0,-1,-1,100,1,1,1,1,1,1,1,1,1,1,1,1
41,7,4,0,0,0,-1,-1,100,1,1,1,1,1,1,1,1,1,1,1,1
42,7,4,0,0,0,-1,-1,100,1,1,1,1,1,1,1,1,1,1,1,1
43,7,4,0,0,0,-1,-1,100,1,1,1,1,1,1,1,1,1,1,1,1
44,7,4,0,0,0,-1,-1,100,1,1,1,1,1,1,1,1,1,1,1,1
45,7,4,0,0,0,-1,-1,100,1,1,1,1,1,1,1,1,1,1,1,1
46,7,4,0,0,0,-1,-1,100,1,1,1,1,1,1,1,1,1,1,1,1
47,7,4,0,0,0,-1,-1,100,1,1,1,1,1,1,1,1,1,1,1,1
48,7,4,0,0,0,-1,-1,100,1,1,1,1,1,1,1,1,1,1,1,1
49,7,4,0,0,0,-1,-1,100,1,1,1,1,1,1,1,1,1,1,1,1
50,7,4,0,0,0,-1,-1,100,1,1,1,1,1,1,1,1,1,1,1,1
-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
