YEAR,HAULJOIN,STRATUM,STATIONID,SPECIES_CODE,SEX,LENGTH,WEIGHT,AGE,SPECIMENID
1994,771610,31,G-12,21720,1,350,NA,2,1
1994,771610,31,G-12,21720,1,460,NA,4,2
1994,771610,31,G-12,21720,1,540,NA,6,3
1994,771610,31,G-12,21720,2,540,NA,5,4
1994,771610,31,G-12,21720,1,600,NA,7,5
1994,771610,31,G-12,21720,2,450,NA,4,6
1994,771610,31,G-12,21720,1,470,NA,5,7
1994,771610,31,G-12,21720,1,330,NA,2,8
1994,771610,31,G-12,21720,2,330,NA,2,9
1994,771610,31,G-12,21720,2,320,NA,2,10
1994,771610,31,G-12,21720,2,440,NA,3,11
1994,771610,31,G-12,21720,2,470,NA,5,12
1994,771610,31,G-12,21720,2,460,NA,3,13
1994,771610,31,G-12,21720,1,550,NA,5,14
1994,771610,31,G-12,21720,2,730,NA,6,15
1994,771610,31,G-12,21720,1,370,NA,2,16
1994,771610,31,G-12,21720,1,290,NA,2,17
1994,771623,10,J-08,21720,2,400,NA,3,18
1994,771623,10,J-08,21720,2,480,NA,4,19
1994,771623,10,J-08,21720,2,450,NA,4,20
1994,771623,10,J-08,21720,2,270,NA,2,21
1994,771623,10,J-08,21720,2,280,NA,2,22
1994,771623,10,J-08,21720,2,340,NA,2,23
1994,771623,10,J-08,21720,2,250,NA,2,24
1994,771623,10,J-08,21720,2,330,NA,2,25
1994,771623,10,J-08,21720,2,310,NA,2,26
1994,771623,10,J-08,21720,2,230,NA,1,27
1994,771623,10,J-08,21720,2,250,NA,2,28
1994,771623,10,J-08,21720,2,240,NA,1,29
1994,771623,10,J-08,21720,2,420,NA,4,30
1994,771623,10,J-08,21720,2,530,NA,5,31
1994,771623,10,J-08,21720,2,570,NA,5,32
1994,771623,10,J-08,21720,2,480,NA,4,33
1994,771623,10,J-08,21720,2,620,NA,6,34
1994,771623,10,J-08,21720,2,420,NA,3,35
1994,771623,10,J-08,21720,2,350,NA,3,36
1994,771623,10,J-08,21720,2,340,NA,3,37
1994,771623,10,J-08,21720,2,290,NA,2,38
1994,771623,10,J-08,21720,2,370,NA,3,39
1994,771623,10,J-08,21720,2,190,NA,1,40
1994,771623,10,J-08,21720,1,330,NA,2,41
1994,771623,10,J-08,21720,1,220,NA,1,42
1994,771623,10,J-08,21720,1,280,NA,2,43
1994,771623,10,J-08,21720,1,420,NA,4,44
1994,771623,10,J-08,21720,1,300,NA,2,45
1994,771623,10,J-08,21720,1,530,NA,4,46
1994,771623,10,J-08,21720,1,320,NA,2,47
1994,771623,10,J-08,21720,1,590,NA,4,48
1994,771623,10,J-08,21720,1,660,NA,8,49
1994,771623,10,J-08,21720,1,400,NA,3,50
1994,771623,10,J-08,21720,1,270,NA,2,51
1994,771623,10,J-08,21720,1,500,NA,4,52
1994,771623,10,J-08,21720,1,480,NA,3,53
1994,771623,10,J-08,21720,1,360,NA,2,54
1994,771623,10,J-08,21720,1,210,NA,1,55
1994,771623,10,J-08,21720,1,190,NA,1,56
1994,771631,31,C-08,21720,1,640,NA,6,57
1994,771631,31,C-08,21720,1,380,NA,3,58
1994,771631,31,C-08,21720,1,800,NA,8,59
1994,771631,31,C-08,21720,1,580,NA,5,60
