"years","index"
1,-0.0128341535969704
2,-0.0166221531352207
3,-0.0372257777706863
4,-0.0182967718110009
5,-0.0242560531568793
6,-0.0267995100336933
7,-0.0365714729718166
8,-0.0361615019927549
9,-0.0255257173543092
10,-0.0311109322513241
11,-0.0194635942342142
12,-0.0287774501297543
13,-0.0295086757231929
14,-0.0253665233757129
15,-0.0289222335126086
16,-0.0219959699790183
17,-0.0232759336582811
18,-0.029982003011586
19,-0.0237899302865837
20,-0.0323718261724346
21,-0.0136570338965812
22,-0.0323915651820725
23,-0.0201594571899855
24,-0.0326229958931405
25,-0.0327176092569927
26,0.0225251401191966
27,0.0258961037679425
28,0.0315318946473051
29,0.0204423506513771
30,0.0320873543670428
31,0.0152933832168427
32,0.0266545092412344
33,0.0298265832430198
34,0.0241027595859556
35,0.0164815258181562
36,0.0245399202952516
37,0.0175201696950798
38,0.02504550665729
39,0.0181154561321768
40,0.0277289842754395
41,0.0232696733978647
42,0.0182675253203154
43,0.0236621046802481
44,0.026418903441996
45,0.0193415392357054
46,0.034217684038099
47,0.0251456474045175
48,0.024539448167722
49,0.034487105465097
50,0.0284236319414831
51,-0.0285435417851184
52,-0.0296401257276853
53,-0.0194958542091391
54,-0.0194140966586941
55,-0.0165382199186001
56,-0.0266519296334973
57,-0.0290120939331596
58,-0.0217096110854025
59,-0.0225086851594279
60,-0.0208754456027789
61,-0.0195403304040608
62,-0.0284734112552272
63,-0.0305196808275185
64,-0.0299793324515689
65,-0.0180006792837286
66,-0.0239995293485285
67,-0.0286537546592715
68,-0.0288248600432515
69,-0.0229527697505239
70,-0.0206945799640902
71,-0.0257956739607539
72,-0.0204309193693466
73,-0.0139971773355051
74,-0.0237936773007148
75,-0.0222926671605957
