,V1,V2,V3,V4,V5
D0-E0-F0-R2-cod,16.28224135,30.4127432,73.96315968,74.63553919,0.953878418
D0-E0-F0-R3-cod,16.67648575,30.37937217,73.95021442,74.70759409,0.954025848
D0-E0-F1-R3-cod,17.18197002,29.74268,73.80552335,74.8435529,0.95217579
D0-E0-F2-R3-cod,18.27421677,29.58397638,73.82857705,74.81823213,0.95082266
D1-E0-F0-R2-cod,14.78707195,31.14084513,73.94949171,74.60322999,0.955424218
D1-E0-F0-R3-cod,17.18836823,27.57187185,74.11024818,74.74495223,0.967819567
D1-E0-F1-R3-cod,16.7574463,27.38835795,74.02384456,74.55138132,0.967621009
D1-E0-F2-R3-cod,16.55317131,27.78422268,74.08107445,74.70563586,0.968508682
D2-E0-F0-R3-cod,15.46364618,28.01375503,74.06025309,74.57196667,0.969419242
D2-E0-F1-R3-cod,15.3689468,27.98041549,74.04201772,74.55811991,0.9695534
D2-E0-F2-R3-cod,14.48342012,28.6273498,74.09107043,74.49044036,0.970583104
D0-E0-F0-R0-cod,14.35742252,31.23431877,73.93881757,74.63338742,0.955895008
D1-E0-F0-R1-cod,14.13790099,28.94931802,74.05076767,74.34576982,0.970500391
D1-E0-F1-R1-cod,14.5727696,28.75737566,74.02373798,74.45455991,0.970778041
D1-E0-F2-R1-cod,14.40251038,28.83646568,74.10529239,74.54197498,0.970476484
D0-E0-F0-R1-cod,15.38786081,30.84552103,73.96811732,74.64608442,0.955154812
D0-E0-F1-R1-cod,16.64387844,29.9491892,74.01907537,74.69451027,0.951706889
D0-E0-F2-R1-cod,17.565133,29.87873128,73.96934334,74.79497997,0.951717835
D3-E0-F0-R3-cod,14.59677149,30.99375156,73.96336173,74.70605331,0.954899141
D3-E0-F1-R3-cod,15.72472784,30.25156948,74.0056326,74.75217376,0.951967183
D3-E0-F2-R3-cod,16.98912073,30.13320244,73.86031372,74.78694765,0.952115261
