"years","index"
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,-0.00875298804780833
27,-0.123940239043824
28,-0.102290836653386
29,-0.104258964143426
30,-0.003677290836653
31,-0.138649402390437
32,0.022115537848606
33,0.0449043824701199
34,0.0446972111553789
35,0.0516374501992036
36,0.0742191235059765
37,0.140617529880478
38,0.0121713147410362
39,0.190442231075698
40,0.116792828685259
41,0.0429362549800801
42,0.162266932270917
43,0.181948207171315
44,0.0333027888446219
45,-0.0256374501992028
46,-0.0635498007968124
47,-0.0730796812749
48,0.129844621513945
49,0.163924302788845
50,-0.023462151394422
51,0.082713147410359
52,0.118760956175299
53,0.195
54,-0.0131035856573701
55,-0.178633466135458
56,-0.0976294820717123
57,-0.0974223107569721
58,-0.018282868525896
59,0.082713147410359
60,-0.00108764940239009
61,0.00823505976095651
62,-0.0147609561752985
63,-0.0538127490039836
64,-0.174282868525896
65,-0.0919322709163343
66,-0.0998047808764932
67,-0.195
68,-0.162784860557769
69,-0.107988047808765
70,0.103741035856574
71,0.160298804780877
72,0.112027888446216
73,0.0302988047808768
74,-0.0133107569721111
75,0.0260517928286857
