"years","index"
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,-0.0125683930942889
27,-0.177965471447543
28,-0.1468791500664
29,-0.149705179282869
30,-0.00528021248339916
31,-0.199086321381141
32,0.031755644090306
33,0.064478087649403
34,0.0641806108897748
35,0.074146082337318
36,0.106571049136787
37,0.20191235059761
38,0.0174767596281546
39,0.273455511288182
40,0.167702523240372
41,0.0616520584329355
42,0.232998671978752
43,0.261258964143426
44,0.0478193891102263
45,-0.0368127490039836
46,-0.0912509960159358
47,-0.104934926958831
48,0.186443559096946
49,0.235378486055777
50,-0.0336892430278879
51,0.118767596281541
52,0.17052855245684
53,0.28
54,-0.0188154050464801
55,-0.256499335989375
56,-0.140185922974766
57,-0.139888446215139
58,-0.026252324037184
59,0.118767596281541
60,-0.00156175298804728
61,0.0118247011952196
62,-0.0211952191235055
63,-0.0772695883134124
64,-0.250252324037184
65,-0.132005312084993
66,-0.143309428950862
67,-0.28
68,-0.233742363877821
69,-0.155059760956175
70,0.148961487383799
71,0.230172642762285
72,0.160860557768925
73,0.0435059760956181
74,-0.0191128818061083
75,0.037407702523241
