"years","index"
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,-0.322549019607843
42,-0.45
43,-0.0921568627450974
44,0.0946078431372555
45,0.179738562091504
46,0.129738562091504
47,0.0733660130718961
48,-0.0552287581699339
49,0.146568627450981
50,0.341993464052288
51,0.45
52,0.230228758169935
53,0.317647058823529
54,0.130392156862746
55,0.0838235294117655
56,0.421732026143792
57,0.376470588235294
58,-0.0454248366013065
59,-0.161274509803921
60,-0.0405228758169928
61,0.0104575163398699
62,0.12467320261438
63,0.242810457516341
64,0.073692810457517
65,0.18562091503268
66,0.0527777777777784
67,0.117156862745099
68,0.17467320261438
69,0.056209150326798
70,0.0967320261437917
71,0.100980392156863
72,0.282679738562092
73,0.248529411764706
74,0.251633986928106
75,0.0929738562091511
76,0.305882352941177
77,0.0522875816993472
78,0.0163398692810465
79,0.0166666666666673
80,0.00571895424836671
81,-0.0299019607843131
82,-0.134640522875816
83,0.067973856209151
84,-0.213235294117647
85,-0.0970588235294111
86,0.0194444444444452
87,-0.168790849673202
88,-0.199836601307188
89,0.0346405228758176
90,0.127614379084968
91,0.187418300653595
92,0.202450980392158
93,-0.117647058823529
94,-0.171405228758169
95,0.124183006535948
96,-0.0433006535947705
97,-0.10016339869281
98,-0.220424836601306
99,0.107843137254903
100,0.368954248366014
101,0.241176470588235
102,0.240849673202616
103,0.116013071895426
104,-0.0433006535947705
105,0.0888888888888897
106,0.0741830065359486
107,0.11045751633987
108,0.172058823529412
109,0.362091503267975
110,0.232189542483661
111,0.244607843137255
112,0.394771241830067
113,0.343954248366014
114,0.257516339869282
115,-0.0764705882352935
116,-0.165686274509803
117,-0.08954248366013
118,0.0393790849673211
119,0.108169934640524
120,0.0460784313725496
