"years","index"
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0.0788453159041394
42,0.11
43,0.0225272331154683
44,-0.0231263616557736
45,-0.043936092955701
46,-0.0317138707334787
47,-0.0179339143064635
48,0.0135003631082061
49,-0.0358278867102398
50,-0.0835984023238927
51,-0.11
52,-0.0562781408859842
53,-0.0776470588235294
54,-0.0318736383442267
55,-0.0204901960784315
56,-0.103090050835149
57,-0.0920261437908497
58,0.011103848946986
59,0.0394226579520696
60,0.009905591866376
61,-0.00255628177196821
62,-0.0304756717501817
63,-0.0593536673928834
64,-0.0180137981118375
65,-0.045374001452433
66,-0.0129012345679014
67,-0.0286383442265797
68,-0.042697893972404
69,-0.0137400145243284
70,-0.0236456063907046
71,-0.0246840958605666
72,-0.0690994916485114
73,-0.0607516339869281
74,-0.0615105301379815
75,-0.0227269426289036
76,-0.0747712418300654
77,-0.0127814088598404
78,-0.00399419026870025
79,-0.00407407407407424
80,-0.0013979665940452
81,0.00730936819172098
82,0.0329121278140884
83,-0.0166158315177925
84,0.0521241830065359
85,0.0237254901960783
86,-0.00475308641975325
87,0.0412599854756716
88,0.0488489469862016
89,-0.00846768336964432
90,-0.0311946259985478
91,-0.04581336238199
92,-0.0494880174291941
93,0.0287581699346404
94,0.0418990559186636
95,-0.0303558460421207
96,0.010584604212055
97,0.0244843863471313
98,0.0538816267247637
99,-0.0263616557734206
100,-0.0901888162672478
101,-0.0589542483660131
102,-0.0588743645606394
103,-0.0283587509077707
104,0.010584604212055
105,-0.0217283950617286
106,-0.0181336238198985
107,-0.0270007262164127
108,-0.0420588235294119
109,-0.0885112563543938
110,-0.0567574437182282
111,-0.0597930283224401
112,-0.0964996368917941
113,-0.0840777051561367
114,-0.0629484386347135
115,0.0186928104575162
116,0.0405010893246186
117,0.0218881626724762
118,-0.00962599854756738
119,-0.0264415395787947
120,-0.0112636165577343
