"years","index"
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,-1.74416666666667
42,-2.39416666666667
43,-0.569166666666667
44,0.383333333333333
45,0.8175
46,0.5625
47,0.275
48,-0.380833333333333
49,0.648333333333333
50,1.645
51,2.19583333333333
52,1.075
53,1.52083333333333
54,0.565833333333333
55,0.328333333333333
56,2.05166666666667
57,1.82083333333333
58,-0.330833333333333
59,-0.921666666666667
60,-0.305833333333333
61,-0.0458333333333333
62,0.536666666666667
63,1.13916666666667
64,0.276666666666667
65,0.8475
66,0.17
67,0.498333333333333
68,0.791666666666667
69,0.1875
70,0.394166666666667
71,0.415833333333333
72,1.3425
73,1.16833333333333
74,1.18416666666667
75,0.375
76,1.46083333333333
77,0.1675
78,-0.0158333333333333
79,-0.0141666666666667
80,-0.07
81,-0.251666666666667
82,-0.785833333333333
83,0.2475
84,-1.18666666666667
85,-0.594166666666667
86,-1.06997201897163e-17
87,-0.96
88,-1.11833333333333
89,0.0775
90,0.551666666666667
91,0.856666666666667
92,0.933333333333333
93,-0.699166666666667
94,-0.973333333333333
95,0.534166666666667
96,-0.32
97,-0.61
98,-1.22333333333333
99,0.450833333333333
100,1.7825
101,1.13083333333333
102,1.12916666666667
103,0.4925
104,-0.32
105,0.354166666666667
106,0.279166666666667
107,0.464166666666667
108,0.778333333333333
109,1.7475
110,1.085
111,1.14833333333333
112,1.91416666666667
113,1.655
114,1.21416666666667
115,-0.489166666666667
116,-0.944166666666667
117,-0.555833333333333
118,0.101666666666667
119,0.4525
120,0.135833333333333
