"years","index"
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,-0.043996015936255
12,-0.0505936254406375
13,0.089892430336255
14,0.113486055776892
15,-0.0162430278884462
16,0.0572629482358565
17,0.0822191235346613
18,0.135
19,-0.00907171309003987
20,-0.123669322680478
21,-0.0675896413768924
22,-0.0674462151394422
23,-0.012657370489243
24,0.0572629482358565
25,-0.000752988047808767
26,0.00570119521912349
27,-0.0102191235059761
28,-0.0372549800223108
29,-0.120657370489243
30,-0.063645418298008
31,-0.06909561747251
32,-0.135
33,-0.112697211126693
34,-0.0747609561752988
35,0.0718207171888446
36,0.1109760956749
37,0.0775577689243028
38,0.0209760956175299
39,-0.00921513941354585
40,0.0180358566310757
