"years","index"
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,-0.055402390438247
12,-0.0637104912956176
13,0.113197875238247
14,0.142908366533865
15,-0.0204541832669323
16,0.072108897778486
17,0.103535192599203
18,0.17
19,-0.0114236387059761
20,-0.155731739671713
21,-0.0851128817338646
22,-0.0849322709163347
23,-0.0159389109864542
24,0.072108897778486
25,-0.000948207171314747
26,0.00717928286852587
27,-0.0128685258964144
28,-0.0469136785466135
29,-0.151938910986454
30,-0.0801460823011952
31,-0.087009296076494
32,-0.17
33,-0.141915006603984
34,-0.0941434262948207
35,0.0904409031266933
36,0.13974767603506
37,0.0976653386454183
38,0.0264143426294821
39,-0.0116042496318725
40,0.0227118194613546
