"years","index"
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0.0179243027888446
12,0.0206122177721116
13,-0.0366228419888446
14,-0.0462350597609562
15,0.0066175298804781
16,-0.0233293492812749
17,-0.0334966799585657
18,-0.055
19,0.00369588311075698
20,0.0503837981290837
21,0.0275365205609562
22,0.0274780876494024
23,0.00515670649561754
24,-0.0233293492812749
25,0.000306772908366539
26,-0.00232270916334661
27,0.00416334661354582
28,0.0151779548239044
29,0.0491567064956175
30,0.0259296148621514
31,0.0281500663776892
32,0.055
33,0.0459136786071713
34,0.0304581673306773
35,-0.0292602921880478
36,-0.0452124834231076
37,-0.031597609561753
38,-0.00854581673306772
39,0.00375431605737053
40,-0.00734794159043824
